,DATE,sales@t+1,,,,
,2018-01-07,431428.5,,,,
,2018-01-14,431753.0,,,,
,2018-01-21,432077.5,,,,
,2018-01-28,432402.0,,,,
,2018-02-04,432726.5,,,,
,2018-02-11,433051.0,,,,
,2018-02-18,433375.5,,,,
,2018-02-25,433700.0,,,,
,2018-03-04,434024.5,,,,
,2018-03-11,434349.0,,,,
,2018-03-18,434673.5,,,,
,2018-03-25,434998.0,,,,
,2018-04-01,435384.6153846150,,,,
,2018-04-08,435771.23076923100,,,,
,2018-04-15,436157.8461538460,,,,
,2018-04-22,436544.46153846200,,,,
,2018-04-29,436931.07692307700,,,,
,2018-05-06,437317.6923076920,,,,
,2018-05-13,437704.3076923080,,,,
,2018-05-20,438090.92307692300,,,,
,2018-05-27,438477.53846153800,,,,
,2018-06-03,438864.1538461540,,,,
,2018-06-10,439250.76923076900,,,,
,2018-06-17,439637.3846153850,,,,
,2018-06-24,440024.0,,,,
,2018-07-01,440224.0983606560,,,,
,2018-07-08,440424.1967213120,,,,
,2018-07-15,440624.2950819670,,,,
,2018-07-22,440824.39344262300,,,,
,2018-07-29,441024.4918032790,,,,
,2018-08-05,441224.59016393400,,,,
,2018-08-12,441424.68852459000,,,,
,2018-08-19,441624.7868852460,,,,
,2018-08-26,441824.88524590200,,,,
,2018-09-02,442024.98360655700,,,,
,2018-09-09,442225.08196721300,,,,
,2018-09-16,442425.18032786900,,,,
,2018-09-23,442625.2786885250,,,,
,2018-09-30,442825.37704918000,,,,
,2018-10-07,443025.47540983600,,,,
,2018-10-14,443225.5737704920,,,,
,2018-10-21,443425.6721311480,,,,
,2018-10-28,443625.7704918030,,,,
,2018-11-04,443825.868852459,,,,
,2018-11-11,444025.9672131150,,,,
,2018-11-18,444226.0655737710,,,,
,2018-11-25,444426.1639344260,,,,
,2018-12-02,444626.262295082,,,,
,2018-12-09,444826.3606557380,,,,
,2018-12-16,445026.45901639300,,,,
,2018-12-23,445226.5573770490,,,,
,2018-12-30,445426.65573770500,,,,
,2019-01-06,445626.75409836100,,,,
,2019-01-13,445826.8524590160,,,,
,2019-01-20,446026.95081967200,,,,
,2019-01-27,446227.04918032800,,,,
,2019-02-03,446427.1475409840,,,,
,2019-02-10,446627.24590163900,,,,
,2019-02-17,446827.34426229500,,,,
,2019-02-24,447027.4426229510,,,,
,2019-03-03,447227.54098360700,,,,
,2019-03-10,447427.6393442620,,,,
,2019-03-17,447627.737704918,,,,
,2019-03-24,447827.8360655740,,,,
,2019-03-31,448027.9344262300,,,,
,2019-04-07,448228.0327868850,,,,
,2019-04-14,448428.131147541,,,,
,2019-04-21,448628.2295081970,,,,
,2019-04-28,448828.3278688530,,,,
,2019-05-05,449028.4262295080,,,,
